trstepF lambdaF nF trstepR lambdaR nR maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T)
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99103 0.99653 11.74670 0.99524 10.00254 0.97871 4.46624 0.93500 1.33709 
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99591 0.99653 11.77458 0.98957 9.54548 0.98871 2.67625 0.97154 1.55989 
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99542 0.99818 11.90180 0.98581 11.35836 0.96252 6.25719 0.90002 2.20434 
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99805 0.99916 11.95806 0.99769 11.28986 0.99370 5.27489 0.94875 1.93893 
100 0.0 5 100 0.0 5 0.99916 11.99902 0.99916 11.99737 0.99537 11.21352 0.99867 7.43348 0.99467 2.49609 0.98415 1.19906 
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.96490 0.97602 11.25547 0.94310 9.43496 0.93996 5.32478 0.90504 2.02803 
100 0.0 5 100 0.001 5 0.99916 12.00000 0.99916 11.99200 0.99916 11.68063 0.99867 7.14659 0.99346 3.88823 0.98238 1.31982 
100 0.0 5 100 0.001 5 0.99916 11.99902 0.99916 11.99347 0.98944 11.23743 0.98227 8.80535 0.99088 3.13966 0.97448 1.83178 
100 0.0 5 100 0.001 5 0.99916 12.00000 0.99916 11.99591 0.99818 11.89687 0.99672 11.35389 0.98993 7.26026 0.90881 1.95338 
100 0.0 5 100 0.001 5 0.99916 12.00000 0.99916 11.99902 0.99769 11.90342 0.99330 11.28928 0.98512 5.10688 0.93921 1.89605 
100 0.0 5 100 0.001 5 0.99916 12.00000 0.99916 11.99737 0.99305 11.57753 0.99367 8.86196 0.99043 3.53171 0.95487 1.22661 
100 0.0 5 100 0.0001 5 0.99916 12.00000 0.99916 11.99902 0.99769 11.80604 0.99641 11.27334 0.96098 3.65084 0.94355 1.91489 
100 0.0 5 100 0.0001 5 0.99916 12.00000 0.99916 11.99902 0.99409 11.77122 0.96854 9.99975 0.94168 4.75567 0.89350 1.87329 
100 0.0 5 100 0.0001 5 0.99916 11.99805 0.99916 11.99737 0.99507 11.71486 0.99226 10.47692 0.98365 4.24584 0.92302 1.87148 
100 0.0 5 100 0.0001 5 0.99916 11.99902 0.99916 11.99591 0.98531 10.92074 0.98992 8.24226 0.98305 2.88367 0.97040 1.69037 
100 0.0 5 100 0.0001 5 0.99916 12.00000 0.99916 11.99103 0.99604 11.55352 0.99684 7.35197 0.99204 3.17439 0.97603 1.23854 
100 0.0 5 100 1e-05 5 0.99916 12.00000 0.99916 11.97345 0.99916 11.87672 0.99769 11.18847 0.99063 4.23613 0.94448 1.99650 
100 0.0 5 100 1e-05 5 0.99916 11.99805 0.99916 11.99249 0.99672 11.66630 0.99158 8.53939 0.98118 2.55529 0.96096 1.55695 
