trstepF lambdaF nF trstepR lambdaR nR maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T)
100 0.0 5 100 0.0 5 0.99436 11.91717 0.93133 10.82240 0.95550 9.66592 0.94474 5.33273 0.88658 2.97714 0.87942 2.18291 
100 0.0 5 100 0.0 5 0.99867 11.99377 0.98298 11.93414 0.84732 8.72182 0.85940 5.22722 0.86643 3.52897 0.85557 2.26762 
100 0.0 5 100 0.0 5 0.99916 11.99151 0.99916 11.87292 0.90867 7.20369 0.91437 5.33021 0.89055 2.24712 0.87544 2.18206 
100 0.0 5 100 0.0 5 0.99916 11.99103 0.94949 11.73087 0.72443 6.80959 0.79801 5.98317 0.69966 3.40225 0.80097 2.79333 
100 0.0 5 100 0.0 5 0.99916 11.98987 0.88939 8.98406 0.82300 6.64858 0.79017 3.01177 0.75692 1.97950 0.76676 2.24388 
100 0.0 5 100 0.001 5 0.99916 11.95863 0.95457 9.89033 0.88714 8.50876 0.85412 2.64086 0.82447 2.38905 0.88423 2.28049 
100 0.0 5 100 0.001 5 0.99720 11.99170 0.95614 10.52304 0.89267 8.01523 0.86910 5.05945 0.88401 3.84114 0.86440 2.30302 
100 0.0 5 100 0.001 5 0.99916 11.99591 0.81069 11.21225 0.93346 7.07319 0.93341 4.46434 0.95759 2.06135 0.95930 2.32079 
100 0.0 5 100 0.001 5 0.99720 11.99414 0.98795 11.69258 0.90871 9.09108 0.92241 5.18217 0.89151 1.80031 0.89188 2.03339 
100 0.0 5 100 0.001 5 0.99916 11.90877 0.82356 8.59003 0.81331 11.17006 0.86700 5.50972 0.76627 1.47064 0.81435 2.25622 
100 0.0 5 100 0.0001 5 0.99195 11.95251 0.75703 7.20354 0.85098 7.83207 0.87400 5.73889 0.63118 1.51984 0.82834 2.49593 
100 0.0 5 100 0.0001 5 0.99818 11.98742 0.94719 10.31803 0.93955 8.48755 0.84864 5.11140 0.79679 2.79577 0.85130 2.43913 
100 0.0 5 100 0.0001 5 0.99916 11.99707 0.95729 11.14975 0.88196 9.94114 0.96340 8.36380 0.92388 5.08932 0.87418 2.15161 
100 0.0 5 100 0.0001 5 0.99437 11.98301 0.98480 11.29630 0.92602 8.93632 0.60972 4.70151 0.68348 2.75231 0.83980 2.77859 
100 0.0 5 100 1e-05 5 0.99623 11.89578 0.99916 11.93272 0.83832 6.14642 0.86975 4.29788 0.84935 3.14108 0.84730 2.38522 
100 0.0 5 100 1e-05 5 0.99916 11.99005 0.99574 11.82244 0.88810 9.30052 0.84883 5.87573 0.82137 3.58109 0.83096 2.76820 
100 0.0 5 100 1e-05 5 0.99720 11.77705 0.99379 11.09192 0.87479 6.35068 0.77339 2.30407 0.76540 1.62319 0.76891 1.89772 
100 0.0 5 100 1e-05 5 0.99867 11.96844 0.98584 11.35168 0.88515 6.47176 0.90342 4.86755 0.88279 3.35223 0.85769 2.15586 
100 0.0 5 100 1e-05 5 0.99916 11.99805 0.99525 11.82762 0.95088 8.22805 0.88719 3.24521 0.92022 1.70094 0.91985 1.90781 
